question,answers,id
what is shakespeare's parents names?,"[""John Shakespeare"", ""Mary Shakespeare""]",2180
what was sir arthur conan doyle famous for?,"[""Sherlock Holmes""]",2181
who is the ravens coach?,"[""Jim Harbaugh""]",2182
what college did ron jaworski go to?,"[""Youngstown State University""]",2183
what team does allen iverson play for now?,"[""Detroit Pistons"", ""Philadelphia 76ers"", ""Denver Nuggets"", ""Memphis Grizzlies""]",2184
where did sir richard grenville explore?,"[""Archipelago of the Azores""]",2185
what years did the atlanta braves win the world series?,"[""1995 World Series""]",2186
when does school start in hillsborough county?,"[""Valrico""]",2187
where did jfk and his wife live?,"[""Boston"", ""Massachusetts"", ""Washington, D.C.""]",2188
what are the basic beliefs of islam religion?,"[""Monotheism""]",2189
what is modern egyptian language?,"[""Modern Standard Arabic""]",2190
where does sam shepard live?,"[""Fort Sheridan"", ""New York"", ""England"", ""Stillwater""]",2191
in what state was the air force academy established?,"[""Colorado""]",2192
where did the battle of the alamo start?,"[""San Antonio""]",2193
what do barack obama do as a president?,"[""Dreams from My Father""]",2194
what are the names of harry potter books in order?,"[""Harry Potter and the Half-Blood Prince"", ""Harry Potter and the Deathly Hallows"", ""Harry Potter and the Goblet of Fire"", ""Harry Potter and the Philosopher's Stone"", ""Harry Potter and the Chamber of Secrets"", ""Harry Potter and the Order of the Phoenix"", ""Harry Potter and the Prisoner of Azkaban""]",2195
what currency should i bring to italy?,"[""Euro""]",2196
what years did the orioles play in the world series?,"[""1983 World Series"", ""1966 World Series"", ""1970 World Series""]",2197
what does the roman empire consist of?,"[""Cilicia""]",2198
what did fred goodwin do?,"[""Businessperson"", ""Chartered Accountant""]",2199
what did isaac newton contribute to science?,"[""Newton fractal"", ""Newton–Euler equations"", ""Newton's laws of motion"", ""Newton's cannonball"", ""Newton"", ""Newton's inequalities"", ""Newton's notation"", ""Newton polygon"", ""Newton disc""]",2200
what school did burne hogarth establish?,"[""School of Visual Arts""]",2201
what is the economy of china?,"[""Socialist state""]",2202
who is marilyn monroe and why is she famous?,"[""Singer"", ""Nude Glamour Model"", ""Film Producer"", ""Actor"", ""Showgirl"", ""Model"", ""Pin-up girl""]",2203
where is port charlotte florida located?,"[""United States of America"", ""Florida"", ""Charlotte County""]",2204
what time zone is it in california?,"[""Pacific Time Zone"", ""UTC-8""]",2205
who is reba mcentire's son?,"[""Shelby Steven McEntire Blackstock""]",2206
who helped form the american federation of labor?,"[""Samuel Gompers""]",2207
who did julie andrews play in shrek?,"[""Queen Lillian""]",2208
what songs did whitney houston?,"[""Count on Me"", ""Ain't No Way (feat. Mary J. Blige)"", ""Why Does It Hurt So Bad"", ""I Will Always Love You"", ""I'm Every Woman"", ""Who Would Imagine a King"", ""You'll Never Stand Alone"", ""My Love Is Your Love"", ""Fine"", ""It's Not Right, but It's Okay""]",2209
when did the celtics win championship?,"[""1969 NBA Finals"", ""1986 NBA Finals"", ""2008 NBA Finals"", ""1974 NBA Finals"", ""1984 NBA Finals"", ""1965 NBA Finals"", ""1966 NBA Finals"", ""1976 NBA Finals"", ""1981 NBA Finals"", ""1968 NBA Finals""]",2210
what does canada export and import the most?,"[""Iron Ore Mining""]",2211
what episode does eric northman come in?,"[""True Blood Season 4"", ""True Blood Season 5"", ""True Blood Season 1"", ""True Blood Season 2"", ""True Blood Season 3""]",2212
what was elijah mccoy famous for?,"[""Engineer"", ""Inventor""]",2213
who did john paul jones fight for?,"[""Continental Navy"", ""Imperial Russian Navy""]",2214
where does hudson river start?,"[""Lake Tear of the Clouds""]",2215
where was brad paisley born and raised?,"[""Glen Dale""]",2216
what is charlotte north carolina known for?,"[""Bojangles' Coliseum"", ""U.S. National Whitewater Center"", ""Land of Oz"", ""Discovery Place"", ""NASCAR Hall of Fame"", ""Carolinas Aviation Museum"", ""Billy Graham Library"", ""Bechtler Museum of Modern Art"", ""Freedom Park"", ""North Carolina Performing Arts Center at Charlotte Foundation""]",2217
where is glastonbury connecticut?,"[""Connecticut""]",2218
what is george washington's hometown?,"[""Westmoreland County""]",2219
what is arlington texas zip code?,"[""76013"", ""76011"", ""76010"", ""76004"", ""76005"", ""76006"", ""76007"", ""76001"", ""76002"", ""76003""]",2220
what years did yankees win championships?,"[""1941 World Series"", ""1939 World Series"", ""1932 World Series"", ""1928 World Series"", ""1936 World Series"", ""1923 World Series"", ""1927 World Series"", ""1937 World Series"", ""1938 World Series"", ""1943 World Series""]",2221
what characters does seth macfarlane play in family guy?,"[""Peter Griffin"", ""Mickey McFinnegan"", ""Stewie Griffin"", ""Jake Tucker"", ""Glenn Quagmire"", ""Carter Pewterschmidt"", ""Stan Smith"", ""Tom Tucker"", ""Kevin Swanson"", ""Brian Griffin""]",2222
what airport fly into miami?,"[""Miami International Airport""]",2223
what year did steve nash play for the mavericks?,"[""1998–99 NBA season""]",2224
where is arabic used?,"[""Tunisia"", ""Eritrea"", ""Saudi Arabia"", ""Comoros""]",2225
what book did charles darwin write on evolution?,"[""On evolution""]",2226
what are all songs by taylor swift?,"[""Cold as You"", ""Love Story Oooh Baby Just Say Yes"", ""Beautiful Eyes"", ""A Place in This World"", ""Love Story (U.S. Pop mix)"", ""I Heart?"", ""White Horse"", ""Picture to Burn (radio edit)"", ""Christmases When You Were Mine"", ""Love Story (Stripped)""]",2227
what instruments does katy perry play?,"[""Vocals""]",2228
who was francis drake married to?,"[""Mary Newman"", ""Elizabeth Sydenham""]",2229
where were the chickasaw indians located?,"[""Indigenous peoples of the Southeastern Woodlands""]",2230
where does don king live?,"[""Cleveland""]",2231
when was tom brady first superbowl win?,"[""Super Bowl XXXVI""]",2232
who did deborah sampson married?,"[""Benjamin Gannet""]",2233
what form of government does mexico?,"[""Constitutional republic"", ""Presidential system"", ""Federal republic""]",2234
who played mickey on days of our lives?,"[""Wayne Allwine""]",2235
what movies does nicole kidman star in?,"[""Billy Bathgate"", ""Bewitched"", ""Birthday Girl"", ""Cold Mountain"", ""Days of Thunder"", ""Dead Calm"", ""Birth"", ""BMX Bandits"", ""Batman Forever"", ""Dogville""]",2236
who was michael jackson first girlfriend?,"[""Lisa Marie Presley""]",2237
where to stay in san francisco ca?,"[""Palace Hotel, San Francisco""]",2238
what team does reggie bush play for 2011?,"[""Miami Dolphins""]",2239
where did kate chopin grow up?,"[""St. Louis""]",2240
who is the current president of dominican republic 2011?,"[""Danilo Medina""]",2241
what money system does greece use?,"[""Greek drachma""]",2242
who played obi wan kenobi in phantom menace?,"[""Ewan McGregor""]",2243
what is the newspaper in phoenix?,"[""The Catholic Sun"", ""The Arizona Republic"", ""Phoenix New Times"", ""Phoenix Gazette""]",2244
where is luke bryan from?,"[""Leesburg""]",2245
who invented facebook wikipedia?,"[""Mark Zuckerberg""]",2246
what country surrounds spain?,"[""Perejil Island"", ""Portugal"", ""France"", ""Andorra"", ""Morocco"", ""Gibraltar""]",2247
when and where was william shakespeare buried?,"[""Church of the Holy Trinity, Stratford-upon-Avon""]",2248
what type of tennis racket does john mcenroe use?,"[""One-handed backhand""]",2249
where did captain james cook grow up?,"[""Marton""]",2250
where is sony headquarters located?,"[""Tokyo""]",2251
who wore the darth vader suit in revenge of the sith?,"[""Hayden Christensen""]",2252
what movies has scarlett johansson in?,"[""Girl with a Pearl Earring"", ""Fall"", ""A Good Woman"", ""A Love Song for Bobby Long"", ""Don Jon's Addiction"", ""Eight Legged Freaks"", ""Ghost World"", ""Captain America: The Winter Soldier"", ""An American Rhapsody""]",2253
where is alex rodriguez from?,"[""Washington Heights""]",2254
what school did michael jordan play for?,"[""North Carolina Tar Heels men's basketball""]",2255
who invented morse code?,"[""Samuel Morse""]",2256
what happened to adolf hitler at the end of the war?,"[""Suicide""]",2257
what is the political system in england?,"[""Constitutional monarchy""]",2258
who was vice president under ronald reagan?,"[""George H. W. Bush""]",2259
what does rupert murdoch own 2012?,"[""STAR India"", ""Fox News Channel"", ""Sky Italia"", ""News Corporation"", ""British Sky Broadcasting"", ""Fox Broadcasting Company""]",2260
where did william howard taft go to high school?,"[""Woodward High School""]",2261
when did the chicago bulls win their first championship?,"[""1991 NBA Finals""]",2262
which four states touch mexico?,"[""California""]",2263
what did sammy davis jr die of?,"[""Complication"", ""Throat cancer""]",2264
what did anna nicole smith died from?,"[""Drug overdose""]",2265
what country did francis drake explored for?,"[""Kingdom of England""]",2266
what two countries share a border with the great lakes?,"[""Canada"", ""United States of America""]",2267
what year did dwayne wade came to the nba?,"[""2003 NBA Draft""]",2268
where is the dan patrick studio?,"[""United States of America""]",2269
where did jackie kennedy go to college?,"[""Georgetown University"", ""George Washington University"", ""Miss Porter's School"", ""Holton-Arms School"", ""Vassar College""]",2270
what do italy people eat for breakfast?,"[""Corriere della Sera"", ""l'Unità"", ""Il Foglio"", ""la Repubblica"", ""Il Messaggero"", ""La Domenica del Corriere"", ""La Stampa"", ""Avanti!"", ""La Gazzetta dello Sport"", ""Liberazione""]",2271
what religion does tom cruise follow?,"[""Catholicism"", ""Scientology""]",2272
what is the president of france's name?,"[""Nicolas Sarkozy""]",2273
what language do lakota indians speak?,"[""Lakota Language"", ""English Language""]",2274
what is the money called in spain?,"[""Euro""]",2275
where is the great pyramid of giza situated?,"[""Giza Plateau""]",2276
where is john deere made?,"[""Moline""]",2277
what money is used in the ukraine?,"[""Ukrainian hryvnia""]",2278
where did ayn rand live?,"[""Saint Petersburg""]",2279
when was the civil war in libya?,"[""2011""]",2280
where are the headquarters of the united nations organization found?,"[""New York City""]",2281
what did charles lindbergh became famous for in the 1920s?,"[""Pilot""]",2282
what influenced roy lichtenstein artwork?,"[""Jasper Johns""]",2283
what state did romney governor?,"[""Massachusetts""]",2284
which countries border lake victoria?,"[""Kenya"", ""Tanzania"", ""Uganda""]",2285
what movies does ryan gosling star in?,"[""The United States of Leland"", ""Half Nelson"", ""The Slaughter Rule"", ""Stay"", ""Lars and the Real Girl"", ""The Believer"", ""Fracture"", ""Murder by Numbers"", ""The Notebook"", ""All Good Things""]",2286
where is kentucky located?,"[""Contiguous United States""]",2287
where john tyler was born?,"[""Charles City County""]",2288
where the english came from?,"[""Canada"", ""Australia"", ""Kingdom of Great Britain"", ""United States of America"", ""United Kingdom"", ""Ireland"", ""New Zealand""]",2289
what place did thomas jefferson died?,"[""Charlottesville""]",2290
when is next t20 world cup cricket?,"[""Every 4 Years""]",2291
what is the time zone in france?,"[""Central European Time"", ""UTC+01:00""]",2292
what kind of economy was the soviet union?,"[""Communist state""]",2293
what county is lancaster ca located in?,"[""Los Angeles County""]",2294
who is steve nash married to?,"[""Alejandra Amarilla""]",2295
where is compaq laptops made?,"[""Houston""]",2296
what is the name of the bengals quarterback?,"[""Andy Dalton""]",2297
what job does janelle brown have?,"[""Singer"", ""Actor""]",2298
what do michelle obama do for a living?,"[""Writer"", ""Lawyer""]",2299
who was the founder of rhode island?,"[""Roger Williams: Lives and Legacies""]",2300
who was dr seuss?,"[""Theodor Robert Geisel""]",2301
who does paul wesley play in 24?,"[""Stephen""]",2302
what continent is australia in?,"[""Australia""]",2303
what is roshon fegan's heritage?,"[""African American""]",2304
where is spanish springs nv?,"[""Europe""]",2305
what club does ronaldinho play for 2012?,"[""Clube Atlético Mineiro""]",2306
what is the name of the sacred text of islam?,"[""Quran"", ""Sahih al-Bukhari"", ""Sunnah""]",2307
where did richard nixon go to high school?,"[""Fullerton Union High School""]",2308
who stars in the movie fred claus?,"[""Vince Vaughn"", ""Kathy Bates"", ""John Michael Higgins"", ""Kevin Spacey"", ""Ludacris"", ""Elizabeth Banks"", ""Rachel Weisz"", ""Miranda Richardson"", ""Jeffrey Dean Morgan"", ""Paul Giamatti""]",2309
who won the 2012 snooker masters?,"[""London""]",2310
where did madoff live?,"[""Palm Beach"", ""France"", ""Roslyn"", ""Montauk"", ""Manhattan"", ""Queens""]",2311
what killed sammy davis jr?,"[""Complication"", ""Throat cancer""]",2312
where to hang out in chicago?,"[""Wrigley Field""]",2313
what are the best things to do in san diego?,"[""Hotel del Coronado"", ""Cabrillo National Monument"", ""San Diego Zoo Safari Park"", ""San Diego Zoo"", ""Mission San Diego de Alcalá"", ""Old Town San Diego State Historic Park"", ""Balboa Park"", ""Birch Aquarium"", ""Old Point Loma Lighthouse"", ""USS Midway""]",2314
what currency do you use in costa rica?,"[""Costa Rican colón""]",2315
who are the senators of kansas 2013?,"[""Jerry Moran"", ""Sam Brownback"", ""Pat Roberts""]",2316
what influenced jackson pollock's work?,"[""Mark Tobey"", ""Thomas Hart Benton"", ""Joan Miró"", ""Max Ernst"", ""John D. Graham"", ""Pablo Picasso""]",2317
what state was john adams elected from?,"[""Massachusetts""]",2318
who played young sam winchester?,"[""Colin Ford""]",2319
what is the official language of the ukraine?,"[""Ukrainian Language""]",2320
who won 2001 fa cup?,"[""Liverpool F.C.""]",2321
what songs did duane allman sing?,"[""Happily Married Man"", ""Goin' Down Slow"", ""Mean Old World (feat. Duane Allman)"", ""Have You Ever Loved a Woman (feat. Duane Allman)"", ""Mean Old World"", ""Black Hearted Woman"", ""No Money Down"", ""Trouble No More""]",2322
who played darth vader in the original star wars movies?,"[""David Prowse""]",2323
when do we change the clocks in 2011 in australia?,"[""au""]",2324
what team did joe hart play for before man city?,"[""Shrewsbury Town F.C.""]",2325
who did scarlett johansson married?,"[""Ryan Reynolds""]",2326
what team did doug williams play for?,"[""Washington Redskins"", ""Tampa Bay Buccaneers"", ""Arizona Outlaws"", ""Grambling State Tigers football""]",2327
what are the different sports in the philippines?,"[""Philippines men's national volleyball team"", ""Philippines national football team""]",2328
who won the presidential race in venezuela?,"[""Nicolás Maduro""]",2329
where did willy wonka take place?,"[""Chocolate Factory Universe""]",2330
what degree did martin luther king get?,"[""Bachelor of Divinity"", ""Bachelor of Arts"", ""PhD""]",2331
what type of music did vivaldi write?,"[""Classical music""]",2332
what books has elie wiesel written?,"[""The judges"", ""Memoirs: All Rivers Run to the Sea"", ""Contre la mélancolie"", ""The trial of God"", ""The Gates of the Forest"", ""The Forgotten"", ""Night"", ""Twilight"", ""Ethics and memory ="", ""The Oath""]",2333
when did the boston celtics win their first championship?,"[""1965 NBA Finals""]",2334
who is cameron crowe?,"[""Film Producer"", ""Film Director"", ""Writer"", ""Screenwriter""]",2335
what is the national anthem of russia?,"[""National Anthem of Russia""]",2336
what college did lee corso attend?,"[""Florida State University""]",2337
what films did liam neeson star in?,"[""Excalibur"", ""Kingdom of Heaven"", ""Batman Begins"", ""Gangs of New York"", ""Nailed"", ""K-19: The Widowmaker"", ""Pilgrim's Progress"", ""Husbands and Wives"", ""Darkman""]",2338
what are all the countries in nato?,"[""Netherlands"", ""Poland"", ""United States of America"", ""United Kingdom"", ""Germany"", ""Bulgaria""]",2339
what does tim gunn do for a living?,"[""TV Personality"", ""Consultant""]",2340
what was eli whitney job?,"[""Engineer"", ""Inventor""]",2341
what city are the swiss alps in?,"[""Monte Rosa Massif""]",2342
what political party was adolf hitler from?,"[""German Workers' Party"", ""Nazi Party""]",2343
who did hermione granger marry?,"[""Ronald Weasley""]",2344
who was the first jedi master?,"[""Yoda""]",2345
what areas did henry hudson discover?,"[""Hudson Bay""]",2346
what does taiwan people speak?,"[""Chinese, Hakka Language"", ""Taiwanese Mandarin"", ""Taiwanese"", ""Mandarin Chinese""]",2347
what made angela davis famous?,"[""Political activist""]",2348
what state is george washington university located in?,"[""Washington, D.C.""]",2349
what is the state bird and flower of michigan?,"[""American Robin""]",2350
what is al in arabic names?,"[""Arabic nomenclature""]",2351
where was governor cuomo born?,"[""Queens""]",2352
who are the judges of the supreme court?,"[""John Roberts"", ""Clarence Thomas"", ""David Souter"", ""John Paul Stevens"", ""Edward Douglass White""]",2353
who is the president of brazil now?,"[""Dilma Rousseff""]",2354
what years have the ravens won the super bowl?,"[""Super Bowl XXXV"", ""Super Bowl XLVII""]",2355
what money to take to sri lanka?,"[""Sri Lankan rupee""]",2356
what year did the mets win their first world series?,"[""1969 World Series""]",2357
who was leonardo da vinci teacher?,"[""lorenzo de' medici patron of leonardo da vinci""]",2358
where did newt gingrich attend college?,"[""Tulane University"", ""Emory University""]",2359
where did thomas jefferson died?,"[""Charlottesville""]",2360
what football teams did emmitt smith play for?,"[""Arizona Cardinals"", ""Florida Gators football"", ""Dallas Cowboys""]",2361
where did joe namath attend college?,"[""University of Alabama""]",2362
what city is purdue university located?,"[""Indiana"", ""West Lafayette"", ""United States of America""]",2363
what language does people in thailand speak?,"[""Thai Language""]",2364
where is ibrahim chatta from?,"[""Haryana""]",2365
what does beth tweddle compete in?,"[""Artistic gymnastics""]",2366
what airport is closest to downtown toronto?,"[""Toronto Pearson International Airport""]",2367
what did emily bronte died of?,"[""Tuberculosis""]",2368
what to do around krabi thailand?,"[""Tup Island"", ""Ao Phra Nang"", ""Ko Lanta Yai"", ""Nosey Parker's Elephant Camp"", ""Ao Tha Len Bay"", ""Phra Nang Beach"", ""Hat Noppharat Beach"", ""Tiger Cave Temple"", ""Khao Phanom Bencha National Park"", ""Railay Beach""]",2369
what country is george washington carver from?,"[""United States of America""]",2370
who is playing bilbo in the hobbit movie?,"[""Norman Bird"", ""Martin Freeman"", ""Ian Holm""]",2371
what else is there in orlando besides disney?,"[""Baldwin Park""]",2372
when did kennedy get elected?,"[""John F. Kennedy 1961 presidential inauguration""]",2373
what kind of currency do they use in thailand?,"[""Thai baht""]",2374
who is the actor that plays rico in hannah montana?,"[""Moisés Arias""]",2375
what time zone is birmingham england?,"[""Greenwich Mean Time""]",2376
what does andy warhol do?,"[""Film Director"", ""Illustrator"", ""Artist"", ""Film Producer"", ""Actor"", ""Printmaker"", ""Cinematographer"", ""Painter"", ""Screenwriter"", ""Sculptor""]",2377
where is colombia the country?,"[""South America"", ""Americas""]",2378
who does jodelle ferland play in eclipse?,"[""Bree Tanner""]",2379
where can i register to vote in urbana il?,"[""Champaign County""]",2380
where was karl marx buried?,"[""Highgate Cemetery""]",2381
what countries did mother teresa work in?,"[""Kolkata""]",2382
what timezone is nevada in right now?,"[""Mountain Time Zone"", ""UTC−07:00"", ""Pacific Time Zone"", ""UTC-8""]",2383
what team did deion sanders play for in baseball?,"[""Baltimore Orioles"", ""San Francisco 49ers"", ""Cincinnati Reds"", ""New York Yankees"", ""Atlanta Braves"", ""San Francisco Giants"", ""Atlanta Falcons"", ""Florida State Seminoles baseball""]",2384
what did dr carter g woodson do?,"[""Writer"", ""Historian"", ""Journalist"", ""Author""]",2385
who invented the ford motor company?,"[""Henry Ford""]",2386
what is ayrton senna?,"[""Racecar driver""]",2387
where was stephen g. breyer born?,"[""San Francisco""]",2388
what films have taylor lautner starred in?,"[""New Moon"", ""He's a Bully, Charlie Brown"", ""Eclipse"", ""Cheaper by the Dozen 2"", ""Incarceron"", ""The Adventures of Sharkboy and Lavagirl"", ""Dear Eleanor"", ""Abduction"", ""Shadow Fury"", ""Field of Dreams 2: Lockout""]",2389
what did charles dickens believe in?,"[""Anglicanism""]",2390
who played elaine on doc martin?,"[""Lucy Punch""]",2391
what religion is sammy davis jr?,"[""Judaism""]",2392
what airport does southwest fly to in denver?,"[""Front Range Airport"", ""Centennial Airport"", ""Denver International Airport"", ""Rocky Mountain Metropolitan Airport""]",2393
who started google?,"[""Larry Page"", ""Sergey Brin""]",2394
in what timezone is arizona?,"[""Mountain Time Zone"", ""UTC−07:00""]",2395
where kurdish people from?,"[""Asia""]",2396
where did harrison ford get his start?,"[""Force 10 from Navarone""]",2397
what year did arizona diamondbacks win the world series?,"[""2001 World Series""]",2398
where was jesus born and raised?,"[""Nazareth""]",2399
what currency do i take to turkey?,"[""Turkish lira""]",2400
who portrayed indiana jones in raiders of the lost ark?,"[""Harrison Ford""]",2401
what money is used in ukraine?,"[""Ukrainian hryvnia""]",2402
where is greyton western cape?,"[""Western Cape""]",2403
what is the buddhist holy book?,"[""Amitabha Sutra"", ""Tibetan Buddhist canon"", ""Mahāvastu"", ""Āgama"", ""Srimala Sutra"", ""Longchen Nyingthig"", ""Gangōji Garan Engi"", ""Mahayana sutras"", ""Vimalakirti Sutra"", ""Pāli Canon""]",2404
who is jason morgan married to in real life?,"[""Brenda Barrett""]",2405
what is colorado's state flower?,"[""Aquilegia saximontana""]",2406
who have the lakers signed?,"[""Dwight Howard""]",2407
who was phil harris married to?,"[""Marcia Ralston"", ""Alice Faye""]",2408
which jane austen books are movies?,"[""Pride and Prejudice""]",2409
where did antoine laurent lavoisier die?,"[""Place de la Concorde""]",2410
where is lanzarote in a world map?,"[""Canary Islands""]",2411
what year did lakers win their first championship?,"[""1948 NBL Finals""]",2412
what does mariah carey call her fans?,"[""radioIO RNB Mix""]",2413
what happened to harvey smith?,"[""Designer""]",2414
who plays dante falconeri?,"[""Dominic Zamprogna""]",2415
what sports are played in canada?,"[""Canada national baseball team"", ""Canada national rugby union team"", ""Canada women's national volleyball team"", ""Canada men's national soccer team"", ""Canadian national bandy team"", ""Canada national badminton team"", ""Canada men's national volleyball team"", ""Canadian women's cricket team"", ""A1 Team Canada"", ""Northwind""]",2416
who is the president of israel 2012?,"[""Shimon Peres""]",2417
who does northern ireland belong to?,"[""United Kingdom""]",2418
who does allen iverson play for now 2010?,"[""Point guard"", ""Shooting guard""]",2419
what party was lincoln affiliated with?,"[""Illinois Republican Party"", ""Republican Party"", ""National Union Party"", ""Whig Party""]",2420
where do islamic people go to worship?,"[""Mosque""]",2421
where did kirk herbstreit?,"[""College GameDay"", ""College Football Final"", ""ESPN College Football on ABC"", ""Saturday Night Football"", ""Battle of the Gridiron Stars"", ""College Football Live""]",2422
where did american troops fight in ww1?,"[""Why Race Mattered in Barack Obama's Re-election""]",2423
what god does taoism believe in?,"[""Tao Te Ching""]",2424
what college did kris humphries play for?,"[""University of Minnesota""]",2425
what gunfight is wyatt earp most famous for?,"[""Gunfight at the O.K. Corral""]",2426
what does the maine state flag look like?,"[""Flag of Maine""]",2427
what do mali people speak?,"[""French Language"", ""Bambara language"", ""Fula language""]",2428
who is john garcia?,"[""Singer"", ""Musician""]",2429
what type of government does japan currently have?,"[""Constitutional monarchy""]",2430
what do israeli people speak?,"[""Yiddish Language"", ""Hebrew Language"", ""Russian Language"", ""Arabic Language"", ""Aramaic language""]",2431
what year did george washington become the president?,"[""George Washington 1789 presidential inauguration""]",2432
what did lbj die of?,"[""Myocardial infarction""]",2433
what is the main language spoken in italy?,"[""Italian Language""]",2434
who was the first wife of prophet muhammad?,"[""Khadija bint Khuwaylid""]",2435
what does george soros believe?,"[""Atheism""]",2436
on which river is paris?,"[""Seine""]",2437
who was sam houston answers?,"[""Soldier"", ""Politician"", ""Lawyer"", ""Military officer""]",2438
who is sherri shepherd's new husband?,"[""Lamar Sally""]",2439
who did kevin garnett play for before celtics?,"[""Minnesota Timberwolves""]",2440
who the voice of peter griffin?,"[""Seth MacFarlane""]",2441
what is the name of dawn french's first novel?,"[""Absolutely Fabulous""]",2442
who is the governor of california 2010?,"[""Arnold Schwarzenegger""]",2443
which paris airport is closest to the city center?,"[""Paris Orly Airport""]",2444
where is st louis cardinals stadium?,"[""Busch Stadium""]",2445
where are dell products manufactured?,"[""Texas""]",2446
where does manny pacquiao live?,"[""South Cotabato"", ""Kiamba""]",2447
when were the duggar kids born?,"[""United States of America""]",2448
where did pharaoh hatshepsut live?,"[""Eighteenth Dynasty of Egypt""]",2449
what four countries are in the united kingdom?,"[""Wales"", ""England"", ""Scotland"", ""Northern Ireland""]",2450
what record label is rihanna signed to 2012?,"[""Def Jam Recordings""]",2451
who does sam bradford play for?,"[""St. Louis Rams""]",2452
where did the seminole native americans live?,"[""Indigenous peoples of the Southeastern Woodlands""]",2453
what county is plymouth ia in?,"[""Cerro Gordo County""]",2454
what airlines fly into ontario international airport?,"[""West Air"", ""Great Lakes Airlines"", ""Ameriflight"", ""UPS Airlines""]",2455
what school did kurt vonnegut go to?,"[""Cornell University"", ""Butler University"", ""Shortridge High School"", ""University of Chicago""]",2456
what kind of biome is the everglades?,"[""Wetland""]",2457
where did henry hudson come from?,"[""United Kingdom"", ""England""]",2458
which continent is costa rica located?,"[""North America""]",2459
what movies has halle berry starred in?,"[""Jungle Fever"", ""Catwoman"", ""Gothika"", ""Executive Decision"", ""Robots"", ""Introducing Dorothy Dandridge"", ""B*A*P*S"", ""Bulworth"", ""Race the Sun"", ""Monster's Ball""]",2460
what was the capital of ancient israel?,"[""Jerusalem""]",2461
where is tomb of allama iqbal?,"[""Lahore""]",2462
who does the united states export the most to?,"[""Canada""]",2463
where is sony ericsson based?,"[""London""]",2464
what school did michael jordan go to?,"[""University of North Carolina at Chapel Hill"", ""Emsley A. Laney High School""]",2465
what do you speak in singapore?,"[""Malay Language"", ""Tamil Language"", ""Standard Mandarin"", ""English Language""]",2466
where is reggie bush from?,"[""Spring Valley""]",2467
what has sara paxton been in?,"[""Durango Kids"", ""Enter Nowhere"", ""Liar Liar"", ""Geppetto"", ""Liars All"", ""Mother Goose Parade"", ""Hollywood Takes a Stand Against Planking"", ""Aquamarine"", ""Haunted Lighthouse"", ""Hounded""]",2468
what primary school did sir isaac newton go to?,"[""The King's School, Grantham""]",2469
what's the egyptian currency?,"[""Egyptian pound""]",2470
which roman god goddess are you?,"[""Vitellius""]",2471
what countries does canada export wheat to?,"[""Japan""]",2472
what kind of economy does china has?,"[""Socialist state""]",2473
what is mexico city time zone?,"[""Central Time Zone""]",2474
who won the fa cup in 2008?,"[""Portsmouth F.C.""]",2475
who plays jacob black in the twilight movies?,"[""Taylor Lautner""]",2476
who is the head coach of the indianapolis colts?,"[""Chuck Pagano""]",2477
who is rob kardashian dating now 2012?,"[""Rita Ora""]",2478
what is the syracuse university mascot?,"[""Otto the Orange""]",2479
where does honda play soccer?,"[""Chief Executive Officer""]",2480
what time zone is ontario toronto?,"[""North American Eastern Time Zone""]",2481
where is augusta golf masters?,"[""Richmond County"", ""Georgia"", ""United States of America""]",2482
what government did japan have?,"[""Parliamentary system"", ""Unitary state"", ""Constitutional monarchy""]",2483
where does the shannon river end?,"[""Shannon Estuary""]",2484
what all does stan kroenke own?,"[""St. Louis Rams"", ""Arsenal F.C."", ""Colorado Avalanche"", ""Colorado Rapids"", ""Denver Nuggets""]",2485
what countries does china border?,"[""Pakistan"", ""Kyrgyzstan"", ""Myanmar"", ""Bhutan"", ""Afghanistan"", ""Tajikistan"", ""India"", ""Mongolia"", ""Laos"", ""Kazakhstan""]",2486
what university did donald trump graduate from?,"[""The Kew-Forest School"", ""University of Pennsylvania"", ""Fordham University"", ""Wharton School of the University of Pennsylvania"", ""New York Military Academy""]",2487
what drug did mitch hedberg overdose on?,"[""Heroin overdose""]",2488
what were erik erikson's theories?,"[""Developmental psychology""]",2489
what the australian liberal party stands for?,"[""Australia""]",2490
what is british columbia?,"[""Canadian province""]",2491
what language do you speak in austria?,"[""Austrian German"", ""Bosnian language"", ""Hungarian language"", ""Croatian language"", ""Serbian language"", ""Bavarian Language"", ""Slovenian language"", ""German Language"", ""Turkish Language""]",2492
what does the philippines flag represent?,"[""Flag of the Philippines""]",2493
who was rosemary clooney married to?,"[""José Ferrer"", ""Dante DiPaolo""]",2494
where did roger moore live?,"[""England""]",2495
who's the oakland raiders head coach?,"[""Dennis Allen""]",2496
where is portuguese language spoken?,"[""Brazil"", ""Canada"", ""Angola"", ""Portugal"", ""Macau"", ""Cape Verde"", ""Andorra"", ""Timor-Leste"", ""Guinea-Bissau"", ""Mozambique""]",2497
who is married to garth brooks?,"[""Trisha Yearwood""]",2498
what political party was hitler the leader of?,"[""Nazi Party""]",2499
who did plaxico burress sign with 2012?,"[""Pittsburgh Steelers""]",2500
who does zach galifianakis play in the hangover?,"[""Alan Garner""]",2501
who plays lois in family guy?,"[""Alex Borstein""]",2502
what state did dwight d. eisenhower live in?,"[""Pennsylvania"", ""Texas""]",2503
